Calendar Date,PD Date,Time Difference (months)
2016-01,2013-10,27
2016-02,2013-10,28
2016-03,2015-05,10
2016-04,2015-05,11
2016-05,2015-05,12
2016-06,2015-05,13
2016-07,2015-05,14
2016-08,2015-05,15
2016-09,2015-05,16
2016-10,2014-05,29
2016-11,2014-05,30
2016-12,2014-05,31
2017-01,2014-05,32
2017-02,2014-05,33
2017-03,2014-05,34
2017-04,2014-05,35
2017-05,2015-09,20
2017-06,2015-09,21
2017-07,2015-09,22
2017-08,2015-09,23
2017-09,2015-09,24
2017-10,2015-09,25
2017-11,2015-09,26
2017-12,2015-09,27
2018-01,2015-09,28
2018-02,2016-01,25
2018-03,2016-01,26
2018-04,2016-01,27
2018-05,2016-01,28
2018-06,2016-01,29
2018-07,2016-01,30
2018-08,2016-01,31
2018-09,2016-01,32
2018-10,2015-08,38
2018-11,2015-08,39
2018-12,2015-12,36
2019-01,2016-01,36
2019-02,2016-01,37
2019-03,2016-01,38
2019-04,2016-01,39
2019-05,2016-01,40
2019-06,2016-01,41
2019-07,2016-06,37
2019-08,2016-06,38
2019-09,2016-06,39
2019-10,2017-03,31
2019-11,2017-03,32
2019-12,2017-03,33
2020-01,2017-03,34
2020-02,2017-03,35
2020-03,2017-03,36
2020-04,2017-03,37
2020-05,2017-03,38
2020-06,2017-03,39
2020-07,2017-03,40
2020-08,2017-05,39
2020-09,2017-05,40
2020-10,2018-06,28
2020-11,2017-10,37
2020-12,2017-11,37
2021-01,2017-12,37
2021-02,2018-01,37
2021-03,2018-02,37
2021-04,2018-03,37
2021-05,2018-05,36
2021-06,2018-09,33
2021-07,2019-01,30
2021-08,2019-01,31
2021-09,2019-01,32
2021-10,2019-01,33
2021-11,2018-04,43
2021-12,2018-04,44
2022-01,2018-04,45
2022-02,2018-04,46
2022-03,2018-04,47
2022-04,2018-04,48
2022-05,2018-04,49
2022-06,2018-04,50
2022-07,2018-04,51
2022-08,2018-05,51
2022-09,2018-05,52
2022-10,2018-07,51
2022-11,2018-07,52
2022-12,2018-09,51
2023-01,2018-09,52
2023-02,2018-09,53
2023-03,2018-09,54
2023-04,2019-02,50
2023-05,2019-06,47
2023-06,2019-06,48
2023-07,2019-06,49
2023-08,2019-09,47
2023-09,2019-11,46
2023-10,2020-09,37
2023-11,2020-09,38
2023-12,2020-09,39
2024-01,2021-07,30
2024-02,2021-07,31
2024-03,2021-07,32
2024-04,2021-07,33
